,Jitter,Shimmer,H1H2,HNR,QValue,SpectralSlope,LowFreqEnergyRatio,HighFreqNoiseRatio,CPP
PC1,-0.37252715077633086,-0.33067149013779457,-0.31786513155228524,0.3063724498330271,0.41563178411347296,0.13031646639855476,-0.3968720057178683,0.3818725207767971,0.2528070316351459
PC2,-0.14659825590074785,0.1280274788841243,0.4475952173188951,0.5067146242951727,-0.010705296015842062,0.6713249888179881,0.22733169599388994,-0.015509046955775393,-0.04800679598653924
PC3,0.48699709867507085,0.6071116274240398,0.014685753053753846,-0.0706931247485728,0.3242221020688712,0.09544705799682439,-0.10989633917819075,0.5022237866191532,0.10246979524752152
PC4,0.049358582052632466,-0.10203289377915556,0.1168127060694243,-0.19258522670616463,-0.22377309983072263,0.09136203674071541,0.20333215053743744,0.03002246316039912,0.9141947316728639
PC5,-0.00019446401672104126,-0.4311168946170106,0.30153889393782785,-0.25382035694623956,0.35518268003113007,-0.111965668039819,0.5533685102120036,0.4264015536631123,-0.179057720100806
PC6,-0.5253434413087149,0.26234924690437533,0.617066787240021,-0.25919843011312105,0.03640423234017317,-0.2505101482159174,-0.36924292560412736,0.07333265435456646,0.037858637587435046
PC7,0.24640526604480928,-0.050447338670157334,0.23298042817291947,0.2345004254898512,0.6377720227139198,-0.250492105367487,-0.019470824209447374,-0.5618891131261459,0.20462464457343466
PC8,0.5059429204643094,-0.4531367801643153,0.39843667999901233,0.1820061296368272,-0.29777356007587497,-0.052821121095456995,-0.4669495007648979,0.1835240321989003,-0.06023894028929708
PC9,-0.08631608492187222,0.18084056791029593,0.005532411973090452,0.6225466597154041,-0.2214474985878548,-0.611600526873776,0.27643036519915964,0.2533897357679826,0.09239571027264876
