PC,explained_variance_ratio
PC1,0.30297326010635706
PC2,0.2910878846065043
PC3,0.1399990348664449
PC4,0.10915558658436299
PC5,0.043612218564789584
PC6,0.041130024685435806
PC7,0.03099915211257933
PC8,0.02091202975112608
PC9,0.02013080872239975
