特征名称,回归系数,标准误,Z值,P值,优势比OR,OR_95%CI下限,OR_95%CI上限,影响度
HighFreqNoiseRatio,0.8654634535201315,0.1953968682649752,4.429259594613807,9.455715100725386e-06,2.376107046010187,1.6201077008309277,3.4848823267759124,0.8654634535201315
CPP,-0.7277688351750276,0.21341497412807484,-3.4101113951745394,0.0006493635089644994,0.4829854088650404,0.3178885280981252,0.7338261200307404,0.7277688351750276
Jitter,-0.5389176517106999,0.20241966387051913,-2.662377959759023,0.007759070008372669,0.5833793304095475,0.39232962883369643,0.867463016139814,0.5389176517106999
LowFreqEnergyRatio,-0.2892828894395971,0.25851882557984546,-1.1190012518072885,0.2631396049943193,0.748800347727194,0.4511431983514316,1.242846978088742,0.2892828894395971
QValue,-0.2601293702285861,0.23106129336955944,-1.125802450229235,0.26024914682504474,0.7709518411357935,0.49017089496159916,1.2125704472870296,0.2601293702285861
H1H2,0.23537514911627772,0.23486586447001487,1.0021684064110894,0.3162622638643834,1.2653833871604292,0.7985533614529926,2.005119750029199,0.23537514911627772
Shimmer,0.09521299907454765,0.18531942786086086,0.5137777521417466,0.6074073842267036,1.0998931063913286,0.7649028817554763,1.5815927411735173,0.09521299907454765
SpectralSlope,-0.012199724141660583,0.20578689029135963,-0.0592832911969651,0.952726469399273,0.9878743907928265,0.6599873455178904,1.478658369151783,0.012199724141660583
HNR,0.0028848342380525436,0.1989352198409225,0.014501375072545657,0.9884299822302316,1.0028889993766248,0.6790768124962722,1.4811083614729799,0.0028848342380525436
