PC,explained_variance_ratio
PC1,0.4380548214723111
PC2,0.20257661417371373
PC3,0.1139514672450437
PC4,0.09407586507839164
PC5,0.04796226063672511
PC6,0.04131329080241844
PC7,0.024293518107393417
PC8,0.022343172825124092
PC9,0.015428989658878737
