fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.002553224563598633,0.008121013641357422,0.4,0.16,0.4,0.22857142857142856
0.0030400753021240234,0.004110813140869141,0.4,0.16,0.4,0.22857142857142856
0.004024982452392578,0.006206512451171875,0.4,0.16,0.4,0.22857142857142856
0.003021240234375,0.0066144466400146484,0.4,0.16,0.4,0.22857142857142856
0.0025534629821777344,0.006608486175537109,0.3,0.13333333333333333,0.3,0.18461538461538463
0.0031006336212158203,0.005124092102050781,0.4,0.16,0.4,0.22857142857142856
0.004653215408325195,0.006734371185302734,0.4,0.16,0.4,0.22857142857142856
0.0035305023193359375,0.005137205123901367,0.4,0.16,0.4,0.22857142857142856
0.002568960189819336,0.004607439041137695,0.4,0.16,0.4,0.22857142857142856
0.003560781478881836,0.005553245544433594,0.4,0.30476190476190473,0.4,0.33246753246753247
