fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.0030236244201660156,0.004030466079711914,0.5,0.4444444444444444,0.5,0.4666666666666666
0.002020120620727539,0.006058454513549805,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8222222222222223
0.0025124549865722656,0.004045009613037109,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8222222222222223
0.0030143260955810547,0.004016876220703125,0.5,0.611111111111111,0.5,0.5222222222222223
0.003092050552368164,0.006688833236694336,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
0.0047876834869384766,0.006830453872680664,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6555555555555556
0.0025098323822021484,0.0035216808319091797,1.0,1.0,1.0,1.0
0.003015279769897461,0.005039215087890625,0.5,0.611111111111111,0.5,0.5222222222222223
0.0045702457427978516,0.003592967987060547,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8222222222222223
0.003077268600463867,0.0035800933837890625,0.5,0.5,0.5,0.4444444444444444
