特征名称,回归系数,标准误,Z值,P值,优势比OR,OR_95%CI下限,OR_95%CI上限,影响度
HighFreqNoiseRatio,1.5652128050720782,0.2765045051307311,5.6607135725765,1.5074485091809278e-08,4.783692821681516,2.7822888977444427,8.224781053742738,1.5652128050720782
Jitter,-0.828971275007217,0.24582206888067826,-3.3722410635539752,0.0007455915825512672,0.4364980919296527,0.2696113836488847,0.7066859777195307,0.828971275007217
HNR,-0.44088271390486766,0.21950619075386696,-2.0085206362094405,0.044587995398582825,0.6434681720165838,0.41848805069262995,0.9893981147444405,0.44088271390486766
LowFreqEnergyRatio,-0.416704177330395,0.2784979460766323,-1.4962558367153396,0.1345869989346006,0.6592159021106346,0.3819177065706577,1.1378514222281544,0.416704177330395
CPP,-0.3073680821408273,0.23579583760495962,-1.3035348090231185,0.19239224053353854,0.7353798708876698,0.4632356312574131,1.1674049188290105,0.3073680821408273
Shimmer,0.286174013823082,0.20587803635885532,1.3900172105987398,0.16452365121988488,1.331324103893754,0.8892832101108598,1.9930926947193275,0.286174013823082
H1H2,0.16543133108441913,0.26241164189660465,0.6304267977165522,0.5284153825625448,1.179901937351,0.705473524162854,1.9733817557741116,0.16543133108441913
SpectralSlope,0.0997983578078674,0.22404022276424143,0.4454483957235022,0.6559957447337058,1.1049480914554248,0.71225989728518,1.714135934740333,0.0997983578078674
QValue,-0.0558618176679128,0.2586414189707904,-0.21598171665699661,0.8290019992200096,0.94566980172092,0.5696177918041372,1.5699849737038865,0.0558618176679128
