fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.002055644989013672,0.004576444625854492,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555
0.003550291061401367,0.00406956672668457,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666
0.003099203109741211,0.004180431365966797,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8222222222222223
0.003067493438720703,0.0056591033935546875,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8222222222222223
0.002603292465209961,0.004326343536376953,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.6666666666666666
0.0032601356506347656,0.005587339401245117,0.5,0.4444444444444444,0.5,0.4666666666666666
0.0047130584716796875,0.0046062469482421875,1.0,1.0,1.0,1.0
0.004544973373413086,0.004027843475341797,1.0,1.0,1.0,1.0
0.002512693405151367,0.006039857864379883,1.0,1.0,1.0,1.0
0.0025091171264648438,0.00452876091003418,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8222222222222223
