fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.004522085189819336,0.004748106002807617,0.5,0.5777777777777777,0.5,0.40615384615384614
0.002556324005126953,0.0056378841400146484,0.4,0.30476190476190473,0.4,0.33246753246753247
0.003070831298828125,0.0060939788818359375,0.5,0.5777777777777777,0.5,0.40615384615384614
0.002040863037109375,0.005084514617919922,0.5,0.5777777777777777,0.5,0.40615384615384614
0.004590034484863281,0.00542759895324707,0.6,0.6,0.6,0.5333333333333333
0.003737926483154297,0.0060579776763916016,0.5,0.5777777777777777,0.5,0.40615384615384614
0.005805253982543945,0.005280733108520508,0.4,0.16,0.4,0.22857142857142856
0.004533052444458008,0.007761716842651367,0.6,0.6,0.6,0.5333333333333333
0.0051038265228271484,0.005700111389160156,0.4,0.16,0.4,0.22857142857142856
0.0035533905029296875,0.00763392448425293,0.2,0.1,0.2,0.13333333333333333
