,Jitter,Shimmer,H1H2,HNR,QValue,SpectralSlope,LowFreqEnergyRatio,HighFreqNoiseRatio,CPP
PC1,-0.37001891580815605,0.00254852157861044,0.1856808086956193,0.45931677371018853,0.0718831230626788,0.4802563146437965,-0.015939773375779013,0.5118758844970307,-0.3457541568964146
PC2,0.27626929653151194,0.21593195120409284,0.5159824291272143,-0.014402182929357295,-0.4888633168745138,0.1796681682082251,0.5132981499763163,-0.1925651940390812,-0.1969239452802968
PC3,-0.24626328987677787,0.6664703855455232,0.0594481985117562,-0.39689848792925964,0.1328731240657238,-0.23649422749849172,-0.1811912436489262,0.02911724585454711,-0.4762837932396505
PC4,0.45984611821216287,0.5250844352579644,0.19337660905837376,0.20239969977205088,0.40797519175390307,0.25208866698280397,-0.177309485419431,0.05702462708538379,0.4120495324527969
PC5,0.32713274526505437,0.07612370011262158,-0.15124988660644778,0.5402867497845214,-0.3660286405140551,-0.2426818455747353,-0.49217935647743,-0.15683651148643832,-0.3356983689853539
PC6,0.3541461444769865,0.06032935658487015,-0.3731011953384499,0.1768935271828136,0.2691074362638124,-0.33183127345954055,0.574018372124818,0.35521065796579293,-0.24948456023650872
PC7,-0.17485520022097342,-0.17304648820666826,0.38676347631007085,0.3337759735465918,0.5388867349762582,-0.2520525628942967,0.12117757114034966,-0.525261206772731,-0.18432427422296066
PC8,0.03715025607017522,-0.1515968399891503,0.5666377113831406,-0.02066506995328639,-0.09265385449328549,-0.5655516348003173,-0.1474306198395169,0.5141255538037344,0.19909458652482828
PC9,0.5002673386494964,-0.4136536239022288,0.16003392186188203,-0.3940711772534698,0.2576179769206748,0.2553612883973408,-0.25267491083954136,0.07619304123489715,-0.44327634798128945
