特征名称,回归系数,标准误,Z值,P值,优势比OR,OR_95%CI下限,OR_95%CI上限,影响度
HighFreqNoiseRatio,1.3794597328112128,0.24506154799949617,5.629033783847839,1.8122190399457392e-08,3.9727546985766033,2.4575082368101198,6.4222693778429605,1.3794597328112128
Jitter,-0.7629355321352954,0.23374610027108514,-3.263949778201592,0.0010987063908833887,0.4662955902369373,0.29491459583733676,0.7372696385442394,0.7629355321352954
HNR,-0.5722628828573861,0.22226023111646814,-2.574742588823777,0.010031471251630506,0.5642471677131029,0.364990143073925,0.8722834638517208,0.5722628828573861
CPP,-0.5544635031083615,0.23543668905804568,-2.3550429006061218,0.01852056735291002,0.5743803318122184,0.3620724553435719,0.9111788557891227,0.5544635031083615
LowFreqEnergyRatio,-0.39322803377965576,0.26362127912299577,-1.491639958230346,0.13579355706375393,0.6748748357786574,0.40255793829061964,1.1314049498098862,0.39322803377965576
H1H2,0.28929447413626,0.25073712531746495,1.153775986583465,0.24859202159313076,1.335484936404028,0.8169795123879638,2.183065778661926,0.28929447413626
SpectralSlope,0.20544134230437594,0.21232918859087702,0.9675605302680603,0.33326389734568895,1.2280669432721427,0.8100038970127648,1.8619026682707647,0.20544134230437594
QValue,-0.13570992011732827,0.24239008925448668,-0.5598822977240034,0.5755597240748902,0.8730958633039494,0.5429240905303998,1.4040570308341949,0.13570992011732827
Shimmer,0.04374187751190753,0.19399328377313954,0.22548140152656182,0.8216047922961451,1.0447126562521263,0.714281617651111,1.5280031113253103,0.04374187751190753
