特征名称,回归系数,标准误,Z值,P值,优势比OR,OR_95%CI下限,OR_95%CI上限,影响度
HighFreqNoiseRatio,1.3275371172472443,0.2358935009372745,5.627696871565124,1.8263166633933556e-08,3.771742579123866,2.3754677161725843,5.988733076152819,1.3275371172472443
Jitter,-0.6939820260201661,0.2261055526139775,-3.069283429783693,0.0021457291583259694,0.499582751463147,0.3207347678281792,0.7781598710034222,0.6939820260201661
CPP,-0.48825529605395174,0.228017758618065,-2.14130381340951,0.032249545812779945,0.6136961788291806,0.39252231464346476,0.959494494603781,0.48825529605395174
HNR,-0.4549743964135823,0.21504544893789182,-2.1157127419375676,0.03436924621312675,0.6344642122995591,0.41625562204216215,0.9670616212076687,0.4549743964135823
LowFreqEnergyRatio,-0.44884879086891577,0.26256136778769484,-1.7095005051613363,0.08735827822174289,0.6383626176530429,0.38157051259624014,1.0679725454782443,0.44884879086891577
H1H2,0.3840024712149455,0.25013411266614966,1.535186333131091,0.12473806442826509,1.46814906978943,0.8991985783003889,2.3970919696044146,0.3840024712149455
QValue,-0.1753584853627818,0.2390726331679153,-0.733494599691872,0.46325682036560045,0.8391561416481798,0.5252230570447358,1.3407313723583947,0.1753584853627818
SpectralSlope,0.09242644906740075,0.20869098670161934,0.44288663601724954,0.6578477341924541,1.0968324655426964,0.7286218770110299,1.6511190446320603,0.09242644906740075
Shimmer,0.08826119116690888,0.191028934963918,0.4620304834112165,0.6440594603663345,1.0922733769314494,0.7511509555432473,1.5883107398703724,0.08826119116690888
