sample_id,score,Jitter,Shimmer,H1H2,HNR,QValue,SpectralSlope,LowFreqEnergyRatio,HighFreqNoiseRatio,CPP
#a3-1,1.0,0.006115000229328871,0.017664000391960144,-3.6174678802490234,16.0568790435791,10.5,-0.00014000000373926014,0.8191715478897095,0.00973450019955635,0.2748335003852844
#a3-3-a,3.0,0.005568999797105789,0.013398000039160252,0.4404760003089905,25.097381591796875,11.0,-0.00012799999967683107,0.18536250293254852,0.0766104981303215,0.3095479905605316
#a3-5-a,3.0,0.0,0.012924999929964542,1.1220674514770508,25.02046012878418,14.666666984558105,-0.00012399999832268804,0.153174489736557,0.33956199884414673,0.37212347984313965
#a4-1,1.0,0.005975000094622374,0.019490499049425125,9.168590545654297,25.104963302612305,7.6666669845581055,-0.00011999999696854502,0.8521639704704285,0.036740999668836594,0.1671600043773651
#a4-3-a,3.0,0.0,0.01285099983215332,0.9788535237312317,36.31950759887695,14.333333015441895,-0.0001140000022132881,0.5454189777374268,0.06776600331068039,0.2314009964466095
#a4-5-a,3.0,0.005560999736189842,0.016034498810768127,-2.245961904525757,28.87435531616211,22.0,-0.00011899999663000926,0.3208869993686676,0.27839401364326477,0.2462960034608841
#c4-1,1.0,0.011265000328421593,0.020913001149892807,2.5595250129699707,16.955564498901367,6.5,-0.0001429999974789098,0.6540780067443848,0.004267999902367592,0.2513040006160736
#c4-3-a,3.0,0.005671000108122826,0.012577000074088573,1.3939809799194336,25.081899642944336,13.0,-0.00012700000661425292,0.18534448742866516,0.043774500489234924,0.30949848890304565
#c4-5-a,3.0,0.0,0.00939599983394146,0.6958824992179871,26.102603912353516,13.0,-0.00012399999832268804,0.19242750108242035,0.23105600476264954,0.4200134873390198
#d4-1,1.0,0.006031000055372715,0.025769999250769615,6.663682460784912,16.039060592651367,7.0,-0.00013099999341648072,0.7973455190658569,0.004770500119775534,0.3311910033226013
#d4-3-a,3.0,0.0,0.015834499150514603,-3.7345130443573,30.358814239501953,14.333333015441895,-0.00011600000289035961,0.12228000164031982,0.1323540061712265,0.3347899913787842
#d4-5-a,3.0,0.0,0.012690000236034393,-6.833588600158691,26.197124481201172,14.5,-0.00011800000356743112,0.07724650204181671,0.20483699440956116,0.4045040011405945
#f3-1,1.0,0.005905999802052975,0.020933501422405243,-7.704166889190674,17.911426544189453,9.0,-0.00017699999443721026,0.27663499116897583,0.00278700003400445,0.20200899243354797
#f3-3-a,3.0,0.00572599982842803,0.017408501356840134,-4.01539421081543,19.04302215576172,13.0,-0.0001720000000204891,0.1533994972705841,0.04705899953842163,0.22435349225997925
#f3-5-a,3.0,0.005690999794751406,0.014666999690234661,-4.229613304138184,19.912416458129883,17.0,-0.00014200000441633165,0.06475099921226501,0.20450200140476227,0.2839510142803192
#f4-1,1.0,0.011082000099122524,0.029386000707745552,11.576408386230469,20.77730369567871,8.5,-0.00012199999764561653,0.9244099855422974,0.013225000351667404,0.35499998927116394
#f4-3-a,3.0,0.0057310000993311405,0.014638999477028847,-2.4080820083618164,33.31538772583008,11.333333015441895,-0.00011000000085914508,0.3662709891796112,0.2037999927997589,0.3597390055656433
#f4-5-a,5.0,0.005621999967843294,0.018122000619769096,-9.031837463378906,27.572416305541992,21.583332061767578,-0.00014200000441633165,0.0961415022611618,0.35413551330566406,0.4663484990596771
#g3-1,1.0,0.005946999881416559,0.02075199969112873,-8.117829322814941,16.38227653503418,9.5,-0.00015999999595806003,0.2770400047302246,0.00684799998998642,0.24074000120162964
#g3-3-a,3.0,0.00548599986359477,0.020904000848531723,-2.177536964416504,23.872961044311523,10.0,-0.00013299999409355223,0.21756599843502045,0.0887565016746521,0.289248526096344
#g3-5-a,3.0,0.005704999901354313,0.021409999579191208,-3.859938144683838,21.435359954833984,15.333333015441895,-0.00012799999967683107,0.2050050050020218,0.34122100472450256,0.315869003534317
