特征组合,特征维度,样本数,准确率,宏平均F1,CV准确率均值,CV准确率标准差,CV宏F1均值,CV宏F1标准差
RMS+Centroid+SpectralSlope,6,100,0.7,0.6699,0.74,0.102,0.6975,0.1251
Jitter+Centroid+SpectralSlope+Mfcc3,12,100,0.7,0.7056,0.74,0.12,0.7295,0.1121
RMS+H1H2+SpectralSlope+Mfcc3,12,100,0.6667,0.6576,0.74,0.12,0.7247,0.1291
RMS+Centroid+SpectralSlope+Mfcc3,12,100,0.6333,0.6132,0.74,0.1114,0.7272,0.128
Shimmer+RMS+H1H2+SpectralSlope+Mfcc3,14,100,0.7667,0.7412,0.73,0.1269,0.7088,0.1402
Shimmer+RMS+Centroid+SpectralSlope,8,100,0.7333,0.7005,0.73,0.1005,0.683,0.1217
Shimmer+RMS+H1H2+Mfcc3,12,100,0.7333,0.7216,0.73,0.1418,0.7126,0.1496
Jitter+Shimmer+RMS+SpectralSlope,8,100,0.6667,0.6689,0.73,0.1345,0.7393,0.142
RMS+H1H2+Mfcc3,10,100,0.7,0.694,0.72,0.1249,0.7031,0.1246
Jitter+Centroid+Mfcc3,10,100,0.6667,0.6789,0.72,0.1249,0.7135,0.1282
Jitter+Shimmer+H1H2+Mfcc3,12,100,0.6667,0.6789,0.72,0.0872,0.6963,0.1323
Jitter+Shimmer+SpectralSlope+Mfcc3,12,100,0.6333,0.642,0.72,0.1166,0.7136,0.1399
Jitter+Shimmer+H1H2+SpectralSlope+Mfcc3,14,100,0.6333,0.642,0.72,0.1077,0.6975,0.1448
Jitter+Shimmer+H1H2,6,100,0.7333,0.7367,0.71,0.1044,0.6903,0.1318
Shimmer+Mfcc3,8,100,0.7,0.68,0.71,0.1446,0.6532,0.1911
RMS+Centroid+H1H2+SpectralSlope+Mfcc3,14,100,0.6667,0.6576,0.71,0.13,0.6844,0.1409
Jitter+RMS+SpectralSlope,6,100,0.6333,0.6289,0.71,0.1136,0.7139,0.1097
RMS+Centroid+H1H2+SpectralSlope,8,100,0.6333,0.6182,0.71,0.1221,0.6291,0.1546
Jitter+Shimmer,4,100,0.7333,0.7367,0.7,0.1265,0.6781,0.1526
Jitter+Shimmer+H1H2+SpectralSlope,8,100,0.7,0.6984,0.7,0.1183,0.6845,0.1563
Shimmer+H1H2+Mfcc3,10,100,0.6333,0.5975,0.7,0.1265,0.6493,0.1602
RMS+Centroid+H1H2+Mfcc3,12,100,0.6333,0.6132,0.7,0.1095,0.6741,0.1072
Shimmer+RMS+Centroid+H1H2+SpectralSlope,10,100,0.7,0.6746,0.69,0.0831,0.6159,0.1128
