特征名称,VIF
Jitter_mean,2.2821943305950025
Jitter_std,1.769218671372742
Shimmer_mean,3.2560881910261643
Shimmer_std,2.8072419956342864
RMS_mean,1.7484631737358016
Centroid_mean,3.055214110890627
Mfcc1_std,1.7502761616621776
Mfcc2_mean,2.1668754328507998
Mfcc2_std,1.8616581003455865
Mfcc3_mean,1.445323909740434
