fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.0020117759704589844,0.004015922546386719,0.6,0.64,0.6,0.6
0.002508401870727539,0.004033327102661133,0.6,0.6,0.6,0.5333333333333333
0.002015352249145508,0.0045206546783447266,0.6,0.6666666666666666,0.6,0.6019047619047619
0.00251007080078125,0.006548404693603516,0.5,0.4,0.5,0.4444444444444445
0.0035812854766845703,0.011477947235107422,0.7,0.7066666666666667,0.7,0.6952380952380952
0.002537965774536133,0.0070819854736328125,0.5,0.43809523809523804,0.5,0.44675324675324674
0.0030472278594970703,0.0060770511627197266,0.7,0.6285714285714286,0.7,0.6337662337662338
0.0026268959045410156,0.005728244781494141,0.5,0.43809523809523804,0.5,0.44675324675324674
0.004038572311401367,0.0035278797149658203,0.6,0.5,0.6,0.54
0.004114866256713867,0.005077838897705078,0.6,0.6666666666666666,0.6,0.6019047619047619
