fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.004415035247802734,0.008099794387817383,0.4,0.16,0.4,0.22857142857142856
0.0025713443756103516,0.007452964782714844,0.4,0.16,0.4,0.22857142857142856
0.0030257701873779297,0.006283998489379883,0.4,0.16,0.4,0.22857142857142856
0.0045316219329833984,0.009287118911743164,0.3,0.13333333333333333,0.3,0.18461538461538463
0.001512765884399414,0.013131856918334961,0.3,0.13333333333333333,0.3,0.18461538461538463
0.00773930549621582,0.00997161865234375,0.5,0.5777777777777777,0.5,0.40615384615384614
0.003228425979614258,0.008610963821411133,0.4,0.16,0.4,0.22857142857142856
0.004029989242553711,0.009198427200317383,0.4,0.16,0.4,0.22857142857142856
0.0052776336669921875,0.01011967658996582,0.4,0.2,0.4,0.26666666666666666
0.0060577392578125,0.007846832275390625,0.3,0.15,0.3,0.2
