fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.0040509700775146484,0.0050547122955322266,0.4,0.35,0.4,0.3333333333333333
0.0044765472412109375,0.005156278610229492,0.4,0.16,0.4,0.22857142857142856
0.0026221275329589844,0.005565166473388672,0.4,0.3333333333333333,0.4,0.36
0.0020198822021484375,0.005165815353393555,0.5,0.5777777777777777,0.5,0.40615384615384614
0.004113912582397461,0.0067136287689208984,0.4,0.35,0.4,0.3333333333333333
0.0031862258911132812,0.007147312164306641,0.3,0.24761904761904763,0.3,0.2597402597402597
0.006727695465087891,0.005098581314086914,0.2,0.1,0.2,0.13333333333333333
0.006656169891357422,0.005145549774169922,0.4,0.16,0.4,0.22857142857142856
0.00453495979309082,0.0056304931640625,0.3,0.2333333333333333,0.3,0.26
0.004542350769042969,0.006056785583496094,0.3,0.2333333333333333,0.3,0.26
