PC,explained_variance_ratio
PC1,0.4087562772351005
PC2,0.23642729519914468
PC3,0.10725741069162398
PC4,0.08369627563359702
PC5,0.052024356061799136
PC6,0.0412660524393278
PC7,0.027185054642170903
PC8,0.023452285234083388
PC9,0.019934992863152624
