特征名称,回归系数,标准误,Z值,P值,优势比OR,OR_95%CI下限,OR_95%CI上限,影响度
HighFreqNoiseRatio,1.0501545025228487,0.21039469899989574,4.991354380669872,5.995737656871498e-07,2.8580926664796196,1.8922913891406865,4.31682654006796,1.0501545025228487
CPP,-0.7908820539328085,0.22268204124594293,-3.5516202811313042,0.00038286695400743803,0.45344465619386365,0.2930737970015514,0.7015709296920967,0.7908820539328085
LowFreqEnergyRatio,-0.5373524399189687,0.2617433061304716,-2.052974908367337,0.04007501108939642,0.5842931575965367,0.34981183157941165,0.9759489622540954,0.5373524399189687
Jitter,-0.4355011859919581,0.20119316754134225,-2.1645923234568536,0.030418919406049565,0.6469403483725905,0.43612230962586523,0.959666142077192,0.4355011859919581
QValue,-0.29802509342839745,0.2329853400217069,-1.2791581367335425,0.2008413744404689,0.7422827130959603,0.4701666988314438,1.1718899435679282,0.29802509342839745
H1H2,0.27271842282835773,0.23899146824180784,1.14112200253285,0.25381915630971075,1.3135303325918455,0.8222619608438674,2.0983117507565927,0.27271842282835773
HNR,-0.2650543271795353,0.20630289449508338,-1.2847823964285294,0.1988683355407439,0.7671642709726324,0.5120154030586272,1.149459596608231,0.2650543271795353
SpectralSlope,0.14255751124496746,0.20745313441042113,0.6871793557138285,0.4919697119510741,1.1532194021337818,0.7679403941122669,1.7317945502725753,0.14255751124496746
Shimmer,0.07141805545143545,0.18765731822593942,0.3805769800325512,0.7035171653697627,1.074030136180554,0.7435022181427324,1.5514960214988498,0.07141805545143545
