fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.0024344921112060547,0.004306793212890625,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
0.002554178237915039,0.003447294235229492,0.3333333333333333,0.27777777777777773,0.3333333333333333,0.3
0.0015909671783447266,0.0060956478118896484,0.3333333333333333,0.25,0.3333333333333333,0.27777777777777773
0.0020189285278320312,0.004534006118774414,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666
0.0030317306518554688,0.004521846771240234,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8222222222222223
0.0025107860565185547,0.0050427913665771484,0.3333333333333333,0.4166666666666667,0.3333333333333333,0.3333333333333333
0.0025091171264648438,0.0043277740478515625,0.5,0.4444444444444444,0.5,0.4666666666666666
0.0028536319732666016,0.004553079605102539,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666
0.005684375762939453,0.004533529281616211,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
0.0045413970947265625,0.004534244537353516,0.5,0.4666666666666666,0.5,0.41269841269841273
