fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.002044677734375,0.00458216667175293,0.5,0.5777777777777777,0.5,0.40615384615384614
0.0030760765075683594,0.0035490989685058594,0.5,0.4,0.5,0.4
0.0030336380004882812,0.0065762996673583984,0.5,0.5777777777777777,0.5,0.40615384615384614
0.004022836685180664,0.006046295166015625,0.6,0.6,0.6,0.5333333333333333
0.0030570030212402344,0.006562232971191406,0.3,0.13333333333333333,0.3,0.18461538461538463
0.00302886962890625,0.008387327194213867,0.5,0.5777777777777777,0.5,0.40615384615384614
0.0025162696838378906,0.006039857864379883,0.4,0.16,0.4,0.22857142857142856
0.003077983856201172,0.00759434700012207,0.5,0.5777777777777777,0.5,0.40615384615384614
0.0025892257690429688,0.00861668586730957,0.4,0.16,0.4,0.22857142857142856
0.005049467086791992,0.00858163833618164,0.3,0.24761904761904763,0.3,0.2597402597402597
