fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.0030138492584228516,0.004022836685180664,0.5,0.4444444444444444,0.5,0.4666666666666666
0.002012014389038086,0.004015684127807617,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666
0.002011537551879883,0.004679203033447266,0.16666666666666666,0.06666666666666667,0.16666666666666666,0.09523809523809523
0.0022842884063720703,0.003324270248413086,0.16666666666666666,0.08333333333333333,0.16666666666666666,0.1111111111111111
0.0016679763793945312,0.004475593566894531,0.5,0.611111111111111,0.5,0.5222222222222223
0.0026738643646240234,0.005320072174072266,0.5,0.3333333333333333,0.5,0.4000000000000001
0.002323150634765625,0.004694938659667969,0.16666666666666666,0.06666666666666667,0.16666666666666666,0.09523809523809523
0.005747795104980469,0.005137205123901367,0.5,0.4666666666666666,0.5,0.41269841269841273
0.003114461898803711,0.0054013729095458984,0.6666666666666666,0.7222222222222222,0.6666666666666666,0.6555555555555556
0.002740144729614258,0.004384040832519531,0.5,0.3333333333333333,0.5,0.4000000000000001
