fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.0030722618103027344,0.0055811405181884766,0.4,0.16,0.4,0.22857142857142856
0.0030257701873779297,0.004557371139526367,0.6,0.6,0.6,0.5333333333333333
0.0027251243591308594,0.00820612907409668,0.7,0.6285714285714286,0.7,0.6337662337662338
0.002508878707885742,0.004589557647705078,0.5,0.5777777777777777,0.5,0.40615384615384614
0.0067789554595947266,0.00437474250793457,0.7,0.6285714285714286,0.7,0.6337662337662338
0.0050449371337890625,0.005327701568603516,0.7,0.6285714285714286,0.7,0.6337662337662338
0.004019021987915039,0.005048274993896484,0.6,0.6,0.6,0.5333333333333333
0.004100322723388672,0.006921291351318359,0.5,0.5777777777777777,0.5,0.40615384615384614
0.003026723861694336,0.008111000061035156,0.4,0.35,0.4,0.3333333333333333
0.0020182132720947266,0.005539655685424805,0.6,0.6,0.6,0.5333333333333333
