特征名称,回归系数,标准误,Z值,P值,优势比OR,OR_95%CI下限,OR_95%CI上限,影响度
HighFreqNoiseRatio,1.3392078322878769,0.23778574059677074,5.6319938652623485,1.781380216150651e-08,3.8160193803754225,2.394456669233907,6.081548310523346,1.3392078322878769
Jitter,-0.7740914252106849,0.22851816607809936,-3.3874393379567382,0.0007054831642047931,0.4611225550546899,0.2946465429393613,0.721657918192259,0.7740914252106849
CPP,-0.44659047862873236,0.2292420948630035,-1.9481172465101473,0.05140093563207204,0.6398058688086609,0.4082413528792643,1.0027194620900384,0.44659047862873236
HNR,-0.4180851150975568,0.21477691443663435,-1.9466017388051475,0.051582499993335564,0.6583061942442383,0.43212510744199506,1.0028740240197787,0.4180851150975568
LowFreqEnergyRatio,-0.32344817760375494,0.2609787462411425,-1.2393659723726742,0.2152099970340018,0.7236494581996621,0.4338930859501486,1.206906851732665,0.32344817760375494
Shimmer,0.2786023149625822,0.19231240110893696,1.4486965653596389,0.14742234007560154,1.3212817853768342,0.9063560445424941,1.926158673382957,0.2786023149625822
QValue,-0.17483967602351044,0.23942339236520993,-0.7302531064166644,0.4652354863783287,0.839591616646054,0.5251344772142964,1.3423496520009937,0.17483967602351044
H1H2,0.14935008613306372,0.24558203229029635,0.6081474476785856,0.5430896855685678,1.1610793958621453,0.7175003436411762,1.8788915927959406,0.14935008613306372
SpectralSlope,0.06515892010725129,0.20897299756098262,0.311805452703221,0.7551883798464467,1.0673286308873868,0.7086307947933057,1.6075937070223205,0.06515892010725129
