特征名称,回归系数,标准误,Z值,P值,优势比OR,OR_95%CI下限,OR_95%CI上限,影响度
HighFreqNoiseRatio,1.284664893870201,0.23333168734122206,5.505745526931022,3.676092198029163e-08,3.613456862761718,2.287233915318451,5.708673000864375,1.284664893870201
Jitter,-0.7371021443918826,0.22845760293739945,-3.226428601694901,0.0012534550066182597,0.47849852799139614,0.3057856789090344,0.7487624734644444,0.7371021443918826
CPP,-0.5439186379915963,0.23023339661562928,-2.362466288501399,0.018153792445320033,0.5804691413546634,0.36966140889931975,0.9114947245055537,0.5439186379915963
HNR,-0.48953379853978357,0.22091540199449824,-2.2159333125717287,0.026696069666166482,0.6129120680895737,0.397516025459433,0.9450215315864666,0.48953379853978357
LowFreqEnergyRatio,-0.3703050326851023,0.25885298731076795,-1.430561171158244,0.1525560224587495,0.6905236662211877,0.4157598100713709,1.1468711550779693,0.3703050326851023
H1H2,0.36170490933078936,0.25060434013021315,1.4433305869437405,0.14892736740125911,1.4357751955783258,0.8785604425814943,2.346395663092653,0.36170490933078936
QValue,-0.17285232422078756,0.23660512154766858,-0.7305519132051551,0.46505289296341057,0.8412618396695934,0.5290936445207757,1.337611007452725,0.17285232422078756
SpectralSlope,0.12049914092236726,0.20925454803135551,0.57584956721854,0.5647168666458235,1.1280597718744296,0.7485388019748705,1.7000038549292338,0.12049914092236726
Shimmer,0.10409944883506098,0.19417633654724187,0.5361078012187868,0.5918840488398593,1.1097108088754024,0.7584494118199732,1.6236522306476533,0.10409944883506098
