fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.003033876419067383,0.004015922546386719,0.6,0.6,0.6,0.5333333333333333
0.0040302276611328125,0.005146503448486328,0.7,0.6285714285714286,0.7,0.6337662337662338
0.0026488304138183594,0.005981922149658203,0.5,0.43809523809523804,0.5,0.44675324675324674
0.002099275588989258,0.005360603332519531,0.6,0.6,0.6,0.5333333333333333
0.0018641948699951172,0.005707502365112305,0.5,0.43809523809523804,0.5,0.44675324675324674
0.0060575008392333984,0.009820699691772461,0.6,0.6,0.6,0.5333333333333333
0.006053924560546875,0.009071111679077148,0.7,0.6285714285714286,0.7,0.6337662337662338
0.006067037582397461,0.009774208068847656,0.6,0.5,0.6,0.54
0.004050731658935547,0.009111881256103516,0.6,0.6,0.6,0.5333333333333333
0.002689361572265625,0.006552934646606445,0.5,0.4,0.5,0.4
