fit_time,score_time,test_accuracy,test_precision_weighted,test_recall_weighted,test_f1_weighted
0.002014636993408203,0.004029512405395508,0.8333333333333334,0.8888888888888888,0.8333333333333334,0.8222222222222223
0.003020048141479492,0.004016399383544922,1.0,1.0,1.0,1.0
0.0025091171264648438,0.003518342971801758,0.6666666666666666,0.5,0.6666666666666666,0.5555555555555555
0.0030133724212646484,0.0030143260955810547,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666
0.0020112991333007812,0.003014087677001953,0.5,0.611111111111111,0.5,0.5222222222222223
0.0030133724212646484,0.004541635513305664,0.5,0.4666666666666666,0.5,0.41269841269841273
0.0030486583709716797,0.005127429962158203,0.5,0.611111111111111,0.5,0.5222222222222223
0.003075838088989258,0.0035469532012939453,0.6666666666666666,0.8333333333333334,0.6666666666666666,0.6666666666666666
0.002047300338745117,0.0051076412200927734,0.3333333333333333,0.1111111111111111,0.3333333333333333,0.16666666666666666
0.002043485641479492,0.007349491119384766,0.5,0.5,0.5,0.4444444444444444
